frame_id,predicted_action
0,Unknown
1,Unknown
2,Unknown
3,Unknown
4,Unknown
5,Unknown
6,Unknown
7,Unknown
8,Unknown
9,Unknown
10,Unknown
11,Unknown
12,Unknown
13,Unknown
14,Unknown
15,Unknown
16,Unknown
17,Unknown
18,Unknown
19,Unknown
20,Unknown
21,Unknown
22,Unknown
23,Unknown
24,Unknown
25,Unknown
26,Unknown
27,Unknown
28,Unknown
29,Unknown
30,Unknown
31,Unknown
32,Unknown
33,Unknown
34,Unknown
35,Unknown
36,Unknown
37,Unknown
38,Unknown
39,Unknown
40,Unknown
41,Unknown
42,Unknown
43,Unknown
44,Unknown
45,Sitting quietly
46,Unknown
47,Unknown
48,Unknown
49,Unknown
50,Unknown
51,Unknown
52,Unknown
53,Unknown
54,Unknown
55,Unknown
56,Unknown
57,Unknown
58,Unknown
59,Unknown
60,Unknown
61,Unknown
62,Unknown
63,Unknown
64,Unknown
65,Unknown
66,Unknown
67,Unknown
68,Unknown
69,Unknown
70,Unknown
71,Unknown
72,Sitting quietly
73,Unknown
74,Unknown
75,Unknown
76,Unknown
77,Unknown
78,Unknown
79,Unknown
80,Unknown
81,Unknown
82,Unknown
83,Unknown
84,Unknown
85,Unknown
86,Unknown
87,Unknown
88,Unknown
89,Unknown
90,Unknown
91,Unknown
92,Unknown
93,Unknown
94,Unknown
95,Unknown
96,Unknown
97,Unknown
98,Unknown
99,Sitting quietly
100,Unknown
101,Unknown
102,Unknown
103,Unknown
104,Unknown
105,Unknown
106,Unknown
107,Unknown
108,Unknown
109,Unknown
110,Unknown
111,Unknown
112,Unknown
113,Unknown
114,Unknown
115,Unknown
116,Unknown
117,Unknown
118,Unknown
119,Unknown
120,Unknown
121,Unknown
122,Unknown
123,Unknown
124,Unknown
125,Unknown
126,Sitting quietly
127,Unknown
128,Unknown
129,Unknown
130,Unknown
131,Unknown
132,Unknown
133,Unknown
134,Unknown
135,Unknown
136,Unknown
137,Unknown
138,Unknown
139,Unknown
140,Unknown
141,Unknown
142,Unknown
143,Unknown
144,Unknown
145,Unknown
146,Unknown
147,Unknown
148,Unknown
149,Unknown
150,Unknown
151,Unknown
152,Unknown
153,Sitting quietly
154,Unknown
155,Unknown
156,Unknown
157,Unknown
158,Unknown
159,Unknown
160,Unknown
161,Unknown
162,Unknown
163,Unknown
164,Unknown
165,Unknown
166,Unknown
167,Unknown
168,Unknown
169,Unknown
170,Unknown
171,Unknown
172,Unknown
173,Unknown
174,Unknown
175,Unknown
176,Unknown
177,Unknown
178,Unknown
179,Unknown
180,Sitting quietly
181,Unknown
182,Unknown
183,Unknown
184,Unknown
185,Unknown
186,Unknown
187,Unknown
188,Unknown
189,Unknown
190,Unknown
191,Unknown
192,Unknown
193,Unknown
194,Unknown
195,Unknown
